enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
2726,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,1,119
15800,city_114,0.926,,Has relevent experience,Full time course,Graduate,STEM,3,,,1,54
18331,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,3,,,never,28
12794,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,72
16253,city_160,0.92,,No relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,57
25099,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,4,176
27408,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,2,43
12611,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,,5,,,1,24
32552,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,3,138
19634,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,4
10477,city_70,0.698,,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,1,82
9686,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Pvt Ltd,1,15
4148,city_142,0.727,Male,Has relevent experience,no_enrollment,Masters,STEM,15,500-999,Pvt Ltd,4,50
6718,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,1,21
17827,city_50,0.8959999999999999,,No relevent experience,Full time course,Graduate,STEM,5,,,,98
1980,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,<1,<10,Pvt Ltd,,92
9757,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,4,78
4881,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,1,86
22841,city_73,0.754,Male,No relevent experience,Full time course,Masters,STEM,14,,,>4,10
27643,city_37,0.794,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10/49,Pvt Ltd,1,29
26292,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,20
29059,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,,1,104
19452,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,72
6269,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,Humanities,>20,,,>4,160
1573,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,500-999,Funded Startup,3,22
3876,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,,3,10
24792,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Pvt Ltd,1,200
19552,city_98,0.949,Male,Has relevent experience,no_enrollment,Masters,Other,>20,500-999,Pvt Ltd,2,14
27756,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Public Sector,2,21
31176,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,>4,57
22236,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,>20,,,1,94
9179,city_48,0.493,,No relevent experience,no_enrollment,Graduate,STEM,2,,,1,23
29426,city_160,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,<1,50-99,Pvt Ltd,1,9
18011,city_131,0.68,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,64
7473,city_100,0.887,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Public Sector,1,34
11666,city_67,0.855,Male,No relevent experience,Full time course,High School,,8,10/49,Pvt Ltd,1,18
861,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,2,262
2256,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,139
2940,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,8,<10,Early Stage Startup,2,54
1638,city_75,0.939,,No relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,6
4873,city_159,0.843,,No relevent experience,Full time course,Graduate,STEM,4,,Pvt Ltd,never,27
3475,city_103,0.92,Male,Has relevent experience,no_enrollment,,,>20,100-500,Pvt Ltd,1,130
8164,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,3,131
21307,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,124
28906,city_39,0.898,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,500-999,Pvt Ltd,1,220
30600,city_99,0.915,Male,Has relevent experience,no_enrollment,High School,,2,,,1,39
7757,city_21,0.624,Male,Has relevent experience,,Graduate,STEM,3,,,1,198
14914,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,4,161
18824,city_114,0.926,Male,No relevent experience,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,never,52
31909,city_75,0.939,Male,No relevent experience,Full time course,Graduate,STEM,10,,,1,30
30813,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,42
23119,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,9,,,never,67
2026,city_28,0.939,Male,No relevent experience,no_enrollment,High School,,2,100-500,Other,2,16
23779,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10000+,Pvt Ltd,1,32
24496,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,>4,163
18295,city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Funded Startup,2,54
27246,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,Pvt Ltd,never,106
1794,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Public Sector,2,42
29631,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,21
19002,city_46,0.762,,Has relevent experience,Full time course,High School,,9,,,1,18
4647,city_100,0.887,Male,No relevent experience,no_enrollment,High School,,3,,,never,12
19169,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Pvt Ltd,>4,142
30870,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,>4,36
7010,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,4
27370,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,,1,56
4890,city_78,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,never,31
32909,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Funded Startup,1,41
12094,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Public Sector,2,60
315,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,16,10000+,NGO,1,276
13186,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,4,89
9008,city_160,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,3,,,1,77
877,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,167
9346,city_39,0.898,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,244
13231,city_142,0.727,,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,4,254
12130,city_26,0.698,,No relevent experience,Full time course,Graduate,STEM,10,50-99,Pvt Ltd,,69
13571,city_69,0.856,,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,88
26685,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Funded Startup,1,8
6171,city_83,0.923,Male,Has relevent experience,Part time course,Masters,Humanities,2,10000+,Pvt Ltd,1,52
24422,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,98
9221,city_173,0.878,,No relevent experience,,High School,,7,,,never,96
20117,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,72
3322,city_46,0.762,,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,33
30541,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,55
3726,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,254
30182,city_103,0.92,,Has relevent experience,Full time course,High School,,6,,,2,8
29072,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,10,50-99,Pvt Ltd,1,58
14524,city_114,0.926,,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,,,3
17226,city_21,0.624,Male,No relevent experience,no_enrollment,,,1,,,never,31
4215,city_46,0.762,,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,NGO,1,34
13562,city_21,0.624,Female,Has relevent experience,no_enrollment,Masters,Other,8,<10,NGO,1,17
9115,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Early Stage Startup,1,165
19827,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,105
2660,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,>4,6
32257,city_94,0.698,Male,Has relevent experience,Part time course,Graduate,STEM,9,50-99,Pvt Ltd,1,166
14303,city_114,0.926,,Has relevent experience,Part time course,Graduate,STEM,11,,,4,61
23972,city_75,0.939,Male,Has relevent experience,no_enrollment,High School,,19,1000-4999,Pvt Ltd,>4,178
10370,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,16,5000-9999,NGO,2,166
11472,city_100,0.887,Male,No relevent experience,Full time course,High School,,6,,,never,18
11920,city_103,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,13,10000+,Pvt Ltd,1,24
2173,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,20,500-999,Pvt Ltd,1,60
5297,city_36,0.893,Male,Has relevent experience,Part time course,Graduate,Humanities,>20,1000-4999,Pvt Ltd,1,96
30140,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,7
22166,city_160,0.92,,Has relevent experience,no_enrollment,,,17,,,2,87
3227,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,8,10000+,Pvt Ltd,2,6
3570,city_114,0.926,Male,Has relevent experience,no_enrollment,,,14,500-999,Pvt Ltd,1,28
2845,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,10,500-999,Pvt Ltd,1,45
5205,city_162,0.767,,Has relevent experience,,Graduate,STEM,>20,500-999,Public Sector,never,28
12945,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,1000-4999,Pvt Ltd,1,26
2994,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,6
12373,city_103,0.92,,Has relevent experience,Full time course,,,,,,>4,96
3550,city_27,0.848,,No relevent experience,,,,15,,,>4,102
4355,city_75,0.939,Male,No relevent experience,Full time course,Masters,STEM,4,5000-9999,Public Sector,never,6
7251,city_67,0.855,Male,No relevent experience,no_enrollment,Masters,STEM,6,<10,Pvt Ltd,>4,246
18028,city_103,0.92,Male,No relevent experience,Full time course,High School,,9,,,1,82
31512,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,2,23
7552,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,128
3073,city_57,0.866,Male,No relevent experience,Part time course,Graduate,STEM,2,,,2,30
10785,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,56
4892,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,5000-9999,Pvt Ltd,never,174
30200,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,13
672,city_104,0.924,Male,Has relevent experience,Full time course,Graduate,STEM,9,,,>4,45
2831,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,304
21489,city_64,0.6659999999999999,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,18
19899,city_21,0.624,Male,No relevent experience,Full time course,High School,,10,,,1,109
20757,city_114,0.926,,No relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,8
14457,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,132
30863,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,43
18862,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,5,1000-4999,Pvt Ltd,1,43
13396,city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,19,,,1,28
23013,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,3,,,never,35
26991,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Early Stage Startup,1,15
12766,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,NGO,3,136
22454,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,2,23
31983,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,Humanities,18,50-99,Pvt Ltd,1,134
30386,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,45
25562,city_46,0.762,Male,Has relevent experience,Part time course,Graduate,STEM,>20,,,3,26
22883,city_73,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,never,89
15356,city_128,0.527,,No relevent experience,Full time course,High School,,2,,,1,300
18234,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,2,112
31573,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19
10152,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,,1,62
14208,city_103,0.92,Male,Has relevent experience,no_enrollment,Primary School,,12,,,1,78
5854,city_71,0.884,Male,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,NGO,>4,322
5116,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,4,165
12001,city_158,0.7659999999999999,Female,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,1,112
7238,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,10,,,never,24
11508,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Funded Startup,2,35
28472,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,124
32089,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,5000-9999,Pvt Ltd,2,20
16080,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,3,<10,Public Sector,2,37
15509,city_114,0.926,Male,Has relevent experience,Full time course,High School,,10,100-500,Pvt Ltd,>4,46
28679,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,,,1,36
33154,city_21,0.624,Male,No relevent experience,Full time course,High School,,3,,,never,148
20969,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,2,46
2672,city_65,0.802,,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,1,62
32502,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,>4,312
98,city_16,0.91,,No relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,>4,40
19207,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,100-500,Funded Startup,4,36
26332,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Funded Startup,1,21
19160,city_67,0.855,Female,No relevent experience,Full time course,Masters,STEM,11,,,>4,78
26374,city_21,0.624,,No relevent experience,no_enrollment,Primary School,,<1,,,never,15
32773,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,15,100-500,Funded Startup,1,182
8173,city_162,0.767,Male,No relevent experience,Full time course,Graduate,STEM,1,,,1,54
27255,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,23
9305,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,91
9712,city_46,0.762,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,162
15795,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,14,<10,Pvt Ltd,1,38
23744,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,102
2265,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,5
13192,city_12,0.64,,No relevent experience,no_enrollment,High School,,<1,,,1,165
2603,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,High School,,3,50-99,Pvt Ltd,1,28
436,city_11,0.55,,No relevent experience,Part time course,Graduate,STEM,4,,,,4
3200,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,,,4,29
4565,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,9,,Pvt Ltd,never,31
16321,city_21,0.624,,Has relevent experience,Full time course,Graduate,Other,3,500-999,Pvt Ltd,1,134
15153,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,1,14
21925,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,10,,,,9
27387,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,38
258,city_160,0.92,,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,31
33139,city_134,0.698,Male,No relevent experience,no_enrollment,Masters,STEM,5,,,1,46
31621,city_83,0.923,Male,No relevent experience,no_enrollment,High School,,4,,,never,41
10864,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,1,51
8976,city_46,0.762,,Has relevent experience,Full time course,Graduate,STEM,5,10000+,NGO,never,58
3379,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,56
13205,city_75,0.939,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,1,94
18489,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,<1,500-999,Pvt Ltd,1,24
18146,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,6,100-500,Pvt Ltd,3,79
20272,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Funded Startup,1,226
18586,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,2,10000+,Pvt Ltd,2,35
22128,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,70
23194,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,16,<10,Pvt Ltd,>4,39
20442,city_89,0.925,Female,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,1,20
7732,city_23,0.899,Male,No relevent experience,Full time course,High School,,6,,,1,103
9689,city_103,0.92,,No relevent experience,Full time course,High School,,<1,,,,27
119,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,9,10/49,,2,50
5055,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,6
25378,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,1000-4999,Pvt Ltd,never,99
7166,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,>4,32
21765,city_114,0.926,,Has relevent experience,,Masters,Other,10,50-99,,1,58
6846,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,2,10
31889,city_160,0.92,Male,No relevent experience,no_enrollment,Primary School,,3,,,1,17
17627,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,>4,55
29188,city_41,0.8270000000000001,Other,No relevent experience,Full time course,Graduate,STEM,10,,Public Sector,1,50
5851,city_21,0.624,Male,Has relevent experience,Full time course,High School,,5,,Pvt Ltd,never,17
27518,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,1,6
33336,city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,3,,,1,43
31737,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,84
8091,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,3,55
27733,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,54
23597,city_75,0.939,Male,Has relevent experience,Full time course,Phd,STEM,>20,,,>4,50
2839,city_114,0.926,Male,Has relevent experience,Full time course,Masters,STEM,16,5000-9999,Public Sector,2,8
4459,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,,17,1000-4999,Pvt Ltd,>4,162
22305,city_175,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,86
15999,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,4,50
29627,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,,,2,87
20788,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,2,24
13134,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,1,46
27760,city_136,0.897,Male,Has relevent experience,Full time course,Graduate,STEM,10,10/49,Early Stage Startup,2,132
22090,city_40,0.7759999999999999,,No relevent experience,no_enrollment,,,2,,,never,47
30230,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,258
31432,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,never,43
23862,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,46
33099,city_36,0.893,Other,Has relevent experience,no_enrollment,Graduate,STEM,13,1000-4999,Pvt Ltd,4,11
18725,city_138,0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,Pvt Ltd,1,156
2893,city_89,0.925,Male,No relevent experience,Full time course,High School,,7,,Pvt Ltd,never,47
1888,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,>4,31
14761,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Funded Startup,2,71
19861,city_114,0.926,,No relevent experience,no_enrollment,High School,,5,,,never,48
26890,city_36,0.893,Male,Has relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,1,20
